nbeval fitness
500 28647.0
500 28117.0
500 28026.0
500 27958.0
500 28494.0
500 27723.0
500 28030.0
500 28172.0
1000 28479.0
1000 28115.0
1000 28213.0
1000 28213.0
1000 28389.0
1000 28424.0
1000 28647.0
1000 28098.0
1000 29455.0
1000 28530.0
1000 28458.0
1000 28400.0
1000 29324.0
1000 28623.0
1000 28820.0
1000 27931.0
1000 28401.0
1000 28030.0
1000 28811.0
1000 28967.0
1000 28204.0
1000 28099.0
1000 28329.0
1000 27905.0
1000 28178.0
1000 28397.0
1000 28067.0
1000 28245.0
1000 28067.0
1000 28708.0
1000 28693.0
1000 27855.0
1000 28240.0
1000 28734.0
1000 28163.0
1000 28701.0
1000 28421.0
1000 28541.0
1000 28197.0
1000 29039.0
1000 28685.0
1000 27906.0
1000 28966.0
1000 28830.0
1000 27975.0
1000 29023.0
1000 28373.0
1000 28422.0
1000 28351.0
1000 28255.0
1000 29561.0
1000 28111.0
1000 28800.0
1000 27771.0
1000 27992.0
1000 27925.0
1000 28501.0
1000 28018.0
1000 28804.0
1000 28716.0
1000 27961.0
1000 27921.0
1000 28019.0
1000 28685.0
1000 28501.0
1000 27974.0
1000 28206.0
1000 28773.0
1000 28251.0
1000 28172.0
1000 28425.0
1000 28169.0
1000 27745.0
1000 28286.0
1000 28439.0
1000 27891.0
1000 28332.0
1000 28571.0
1000 28448.0
1000 28826.0
1000 28373.0
1000 28059.0
1000 28378.0
1000 28015.0
1000 27911.0
1000 28528.0
1000 28971.0
1000 28280.0
1000 28036.0
1000 28305.0
1000 27822.0
1000 28266.0
1000 28647.0
1000 28153.0
1000 28026.0
1000 28338.0
1000 28635.0
1000 28212.0
1000 28528.0
1000 28302.0
2000 28825.0
2000 28468.0
2000 28335.0
2000 28459.0
2000 28389.0
2000 28424.0
2000 28647.0
2000 28701.0
2000 29455.0
2000 28530.0
2000 28458.0
2000 28419.0
2000 29324.0
2000 28623.0
2000 28820.0
2000 28517.0
2000 28786.0
2000 28197.0
2000 28811.0
2000 28967.0
2000 28254.0
2000 28940.0
2000 28329.0
2000 28253.0
2000 28508.0
2000 28397.0
2000 28111.0
2000 29128.0
2000 28642.0
2000 28708.0
2000 28693.0
2000 28331.0
2000 28240.0
2000 28770.0
2000 28358.0
2000 28897.0
2000 28421.0
2000 28714.0
2000 28207.0
2000 29039.0
2000 28685.0
2000 28476.0
2000 28966.0
2000 28931.0
2000 28669.0
2000 29023.0
2000 28628.0
2000 28422.0
2000 28351.0
2000 28531.0
2000 29561.0
2000 28924.0
2000 28800.0
2000 28239.0
2000 28064.0
2000 28178.0
2000 28501.0
2000 28405.0
2000 28804.0
2000 28716.0
2000 28436.0
2000 28189.0
2000 28019.0
2000 28685.0
2000 28525.0
2000 27974.0
2000 28206.0
2000 28773.0
2000 28251.0
2000 28231.0
2000 28662.0
2000 28169.0
2000 28974.0
2000 28286.0
2000 28439.0
2000 28374.0
2000 28332.0
2000 28571.0
2000 28448.0
2000 28826.0
2000 28416.0
2000 28245.0
2000 28402.0
2000 28015.0
2000 29113.0
2000 28528.0
2000 28971.0
2000 28559.0
2000 28036.0
2000 28327.0
2000 27985.0
2000 28289.0
2000 28647.0
2000 28326.0
2000 28839.0
2000 28367.0
2000 28635.0
2000 28212.0
2000 28569.0
2000 28742.0
5000 28825.0
5000 28814.0
5000 28434.0
5000 28708.0
5000 28499.0
5000 28680.0
5000 28876.0
5000 28852.0
5000 29455.0
5000 28555.0
5000 28458.0
5000 28739.0
5000 29324.0
5000 28623.0
5000 28820.0
5000 28517.0
5000 28786.0
5000 29488.0
5000 28811.0
5000 28967.0
5000 28791.0
5000 28940.0
5000 28438.0
5000 28746.0
5000 28508.0
5000 28397.0
5000 28306.0
5000 29128.0
5000 28774.0
5000 28708.0
5000 28693.0
5000 28661.0
5000 28478.0
5000 29021.0
5000 28358.0
5000 29059.0
5000 28421.0
5000 28994.0
5000 28594.0
5000 29360.0
5000 28807.0
5000 28959.0
5000 28966.0
5000 29148.0
5000 28832.0
5000 29023.0
5000 28628.0
5000 28783.0
5000 28396.0
5000 28531.0
5000 29561.0
5000 28953.0
5000 28800.0
5000 28728.0
5000 28812.0
5000 28410.0
5000 28501.0
5000 28895.0
5000 28804.0
5000 29003.0
5000 28808.0
5000 28389.0
5000 28688.0
5000 28770.0
5000 28525.0
5000 28984.0
5000 28705.0
5000 28773.0
5000 28739.0
5000 28692.0
5000 28808.0
5000 28667.0
5000 28974.0
5000 29853.0
5000 28634.0
5000 28399.0
5000 28806.0
5000 29403.0
5000 28714.0
5000 29084.0
5000 28416.0
5000 28677.0
5000 28628.0
5000 29131.0
5000 29200.0
5000 28598.0
5000 28971.0
5000 29045.0
5000 28428.0
5000 28596.0
5000 28737.0
5000 28483.0
5000 28647.0
5000 28326.0
5000 28839.0
5000 28826.0
5000 28767.0
5000 28554.0
5000 28569.0
5000 28742.0
10000 28825.0
10000 29027.0
10000 29052.0
10000 28708.0
10000 29048.0
10000 28680.0
10000 28876.0
10000 28881.0
10000 29455.0
10000 28785.0
10000 29536.0
10000 28762.0
10000 29324.0
10000 28623.0
10000 29076.0
10000 28789.0
10000 28786.0
10000 29488.0
10000 28811.0
10000 29240.0
10000 28791.0
10000 29336.0
10000 28726.0
10000 29271.0
10000 29161.0
10000 28881.0
10000 28579.0
10000 29128.0
10000 29114.0
10000 28708.0
10000 29315.0
10000 28805.0
10000 29036.0
10000 29021.0
10000 28505.0
10000 29059.0
10000 28883.0
10000 28994.0
10000 28594.0
10000 29360.0
10000 28807.0
10000 28959.0
10000 28966.0
10000 29148.0
10000 28832.0
10000 29023.0
10000 28781.0
10000 28783.0
10000 29621.0
10000 28574.0
10000 29561.0
10000 28953.0
10000 28827.0
10000 28728.0
10000 28812.0
10000 28680.0
10000 28658.0
10000 29255.0
10000 28863.0
10000 29003.0
10000 28901.0
10000 28540.0
10000 28688.0
10000 28907.0
10000 29202.0
10000 29488.0
10000 28878.0
10000 28773.0
10000 28739.0
10000 28894.0
10000 29226.0
10000 29752.0
10000 28974.0
10000 29853.0
10000 28802.0
10000 28814.0
10000 28806.0
10000 29403.0
10000 29024.0
10000 29084.0
10000 28752.0
10000 28928.0
10000 28628.0
10000 29131.0
10000 29200.0
10000 29274.0
10000 28971.0
10000 29045.0
10000 28846.0
10000 28859.0
10000 29060.0
10000 28866.0
10000 28759.0
10000 28557.0
10000 29220.0
10000 28826.0
10000 28767.0
10000 28691.0
10000 28676.0
10000 28742.0
50000 29152.0
50000 29439.0
50000 29128.0
50000 29333.0
50000 29271.0
50000 29061.0
50000 28957.0
50000 29592.0
50000 29455.0
50000 28822.0
50000 30075.0
50000 29211.0
50000 29324.0
50000 29410.0
50000 29076.0
50000 29228.0
50000 29018.0
50000 29488.0
50000 29286.0
50000 29326.0
50000 29023.0
50000 29336.0
50000 29304.0
50000 29368.0
50000 29332.0
50000 29400.0
50000 29591.0
50000 29260.0
50000 29487.0
50000 29061.0
50000 29315.0
50000 29611.0
50000 29036.0
50000 29174.0
50000 29477.0
50000 29482.0
50000 29088.0
50000 29541.0
50000 29076.0
50000 29360.0
50000 29112.0
50000 29399.0
50000 29171.0
50000 29250.0
50000 29424.0
50000 29297.0
50000 28948.0
50000 29094.0
50000 29621.0
50000 28926.0
50000 29561.0
50000 29341.0
50000 29645.0
50000 29117.0
50000 29758.0
50000 28947.0
50000 29330.0
50000 29845.0
50000 29361.0
50000 29180.0
50000 29657.0
50000 29482.0
50000 28751.0
50000 28969.0
50000 29202.0
50000 29488.0
50000 29566.0
50000 29365.0
50000 29050.0
50000 29090.0
50000 29226.0
50000 29752.0
50000 28974.0
50000 29853.0
50000 29062.0
50000 29153.0
50000 29290.0
50000 29403.0
50000 29429.0
50000 29084.0
50000 29494.0
50000 29225.0
50000 28951.0
50000 29367.0
50000 29200.0
50000 29274.0
50000 29556.0
50000 29045.0
50000 29835.0
50000 28902.0
50000 29264.0
50000 29130.0
50000 29303.0
50000 28886.0
50000 29384.0
50000 29371.0
50000 29525.0
50000 29274.0
50000 29095.0
50000 29640.0
100000 29545.0
100000 29439.0
100000 29215.0
100000 29333.0
100000 29271.0
100000 29064.0
100000 28957.0
100000 29592.0
100000 29455.0
100000 29282.0
100000 30075.0
100000 29247.0
100000 29770.0
100000 29410.0
100000 29076.0
100000 29228.0
100000 29602.0
100000 29488.0
100000 29286.0
100000 29326.0
100000 29390.0
100000 29336.0
100000 29304.0
100000 29635.0
100000 29332.0
100000 29400.0
100000 29591.0
100000 29260.0
100000 29487.0
100000 29061.0
100000 29315.0
100000 29611.0
100000 29083.0
100000 29483.0
100000 29477.0
100000 29482.0
100000 29088.0
100000 29688.0
100000 29263.0
100000 29360.0
100000 29306.0
100000 29493.0
100000 29313.0
100000 29250.0
100000 29424.0
100000 29297.0
100000 29214.0
100000 29562.0
100000 29621.0
100000 29820.0
100000 29583.0
100000 29341.0
100000 29645.0
100000 29117.0
100000 29758.0
100000 29233.0
100000 29330.0
100000 29845.0
100000 29361.0
100000 29445.0
100000 29657.0
100000 29482.0
100000 29181.0
100000 28969.0
100000 29269.0
100000 29488.0
100000 29566.0
100000 29365.0
100000 29351.0
100000 29618.0
100000 29226.0
100000 29752.0
100000 29217.0
100000 29853.0
100000 29062.0
100000 29399.0
100000 29290.0
100000 29403.0
100000 29473.0
100000 29238.0
100000 29494.0
100000 29593.0
100000 29232.0
100000 29390.0
100000 29278.0
100000 29274.0
100000 29562.0
100000 29333.0
100000 29835.0
100000 29134.0
100000 29264.0
100000 29250.0
100000 29509.0
100000 29012.0
100000 29737.0
100000 29371.0
100000 29761.0
100000 29274.0
100000 29587.0
100000 29640.0
